Thoughts,Emotions,Symptoms,Behaviours,Psychological Insight,ML Training Label,Suggestions
My future looks bleak,Anger,Weight changes,Angry outbursts,Mental exhaustion,Cognitive Behavioral Therapy (CBT),Consider talking to a mental health professional
I do not matter,Suicidal,Muscle aches,Decrease in activities,Perceived incompetence,Mindfulness-Based Stress Reduction (MBSR),Establish a support system with friends and family
I do not matter,Overwhelmed,Loss of sex drive,Increased smoking or drinking,Low self-worth,Expressive writing exercises,Consider talking to a mental health professional
I feel hopeless,Suicidal,Difficulties sleeping,Procrastination,Pessimism,Expressive writing exercises,Consider talking to a mental health professional
"There is no point, I will not enjoy it",Suicidal,Muscle aches,Decrease in activities,Pessimism,Social skills training,Seek professional help for anxiety or depression
I am a failure,Lethargic,Chest pains,Social withdrawal,Perceived incompetence,Physical exercise routines,Consider journaling or expressive writing
I feel hopeless,Hopeless,Headaches,Decrease in activities,Low self-worth,Physical exercise routines,Engage in physical activities
I am a failure,Irritable,Feeling restless,Decrease in activities,Low self-worth,Expressive writing exercises,Consider journaling or expressive writing
I do not matter,Suicidal,Difficulties sleeping,Increased smoking or drinking,Negative self-perception,Cognitive Behavioral Therapy (CBT),Consider talking to a mental health professional
I cannot do anything right,Hopeless,Digestive problems,Decrease in activities,Mental exhaustion,Physical exercise routines,Practice mindfulness and relaxation exercises
I cannot do anything right,Irritable,Tearful,Excessive online browsing,Anhedonia (loss of pleasure),Social skills training,Practice mindfulness and relaxation exercises
Everything seems difficult,Irritable,Poor appetite or overeating,Excessive online browsing,Feelings of rejection,Mindfulness-Based Stress Reduction (MBSR),Practice mindfulness and relaxation exercises
"There is no point, I will not enjoy it",Anger,Tearful,Social withdrawal,Feelings of rejection,Psychiatric evaluation,Seek professional help for anxiety or depression
I might as well not be here,Suicidal,Feeling restless,Excessive online browsing,Negative self-perception,Physical exercise routines,Seek professional help for anxiety or depression
I do not matter,Anxiety,Muscle aches,Procrastination,Feelings of rejection,Expressive writing exercises,Establish a support system with friends and family
I feel hopeless,Unmotivated,Digestive problems,Decrease in activities,Pessimism,Cognitive Behavioral Therapy (CBT),Establish a support system with friends and family
Nobody likes me,Sad,Weight changes,Excessive online browsing,Anhedonia (loss of pleasure),Physical exercise routines,Engage in physical activities
